                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2734,                 2.2594,                 1.6427,                0.00357,                      1,                0.71786,                   0.38,                 1.0284,                 3.1249,                 1.8664,                0.00022,                0.00022,                0.00022
                      1,                 1.2074,                 1.5487,                 1.5834,                0.94873,                0.41667,                0.86234,                0.41527,                 1.2227,                 2.9667,                 2.2117,             0.00044178,             0.00044178,             0.00044178
                      2,                 1.1385,                  1.416,                 1.5284,                0.95686,                   0.65,                0.93761,                0.47213,                 1.3049,                 2.7935,                 2.4056,             0.00064456,             0.00064456,             0.00064456
                      3,                 1.2025,                 1.4584,                 1.5912,                0.78017,                0.70988,                0.86204,                  0.423,                 1.4722,                 2.6882,                 2.2346,             0.00082833,             0.00082833,             0.00082833
                      4,                 1.1297,                  1.222,                 1.4605,                0.79553,                   0.85,                0.89306,                0.46742,                 1.3255,                 2.2323,                 2.1681,             0.00099309,             0.00099309,             0.00099309
                      5,                 1.1758,                 1.2711,                 1.5259,                0.56093,                0.76667,                0.66669,                0.31035,                 1.5323,                 2.4316,                  2.383,              0.0011388,              0.0011388,              0.0011388
                      6,                 1.2621,                 1.2496,                 1.5785,                0.79034,                0.71667,                0.81696,                0.44347,                 1.3405,                  2.365,                 2.3102,              0.0012656,              0.0012656,              0.0012656
                      7,                 1.2303,                 1.2513,                 1.5793,                0.86949,                0.83333,                0.88448,                0.44436,                 1.4506,                 2.2689,                 2.5352,              0.0013733,              0.0013733,              0.0013733
                      8,                 1.2317,                 1.2227,                 1.5534,                0.71606,                    0.5,                0.67566,                0.34032,                 1.5705,                 2.2408,                 2.3078,              0.0013664,              0.0013664,              0.0013664
                      9,                 1.1702,                 1.1957,                 1.5495,                0.78951,                0.76667,                0.80122,                0.48723,                 1.3135,                 2.1281,                 2.0316,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.2254,                 1.2526,                 1.5726,                0.83813,                0.86667,                0.88991,                0.53344,                 1.4382,                 1.6796,                 2.2002,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.1431,                  1.081,                 1.4813,                0.75584,                   0.85,                0.83424,                 0.4077,                 1.5739,                 1.8475,                 2.2882,               0.001208,               0.001208,               0.001208
                     12,                 1.1063,                0.98867,                 1.5084,                0.87684,                0.91667,                0.95374,                0.57883,                 1.3963,                  1.488,                 2.1722,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.1835,                 1.0578,                 1.5233,                0.87153,                0.91667,                0.95055,                0.54251,                 1.3926,                 1.5275,                 2.0178,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.1562,                  1.022,                 1.4848,                0.93186,                0.96667,                0.97169,                0.63938,                  1.191,                 1.1492,                  1.844,              0.0009704,              0.0009704,              0.0009704
                     15,                 0.9862,                 1.1464,                 1.5652,                0.91813,                    0.9,                0.95059,                0.58632,                 1.3482,                 1.4552,                 2.1909,              0.0008912,              0.0008912,              0.0008912
                     16,                0.96542,                 1.1489,                 1.5542,                0.93017,                0.88808,                0.96371,                0.62144,                 1.2242,                 1.2053,                  1.985,               0.000812,               0.000812,               0.000812
                     17,                0.97384,                0.95954,                 1.5255,                0.94776,                0.96667,                0.97573,                0.64906,                 1.2193,                 1.2446,                 1.9328,              0.0007328,              0.0007328,              0.0007328
                     18,                0.95329,                0.94613,                 1.5269,                0.88718,                0.93333,                0.92319,                0.55806,                   1.36,                 1.3325,                 2.0409,              0.0006536,              0.0006536,              0.0006536
                     19,                0.88006,                0.93478,                 1.4732,                0.85711,                0.89975,                0.93932,                0.53613,                 1.4417,                 1.3228,                  2.153,              0.0005744,              0.0005744,              0.0005744
                     20,                 0.9219,                0.87332,                 1.4587,                0.87681,                0.94901,                 0.9562,                0.60568,                 1.3003,                 1.1508,                 1.9751,              0.0004952,              0.0004952,              0.0004952
                     21,                0.91031,                0.83485,                 1.4771,                0.90355,                0.93683,                0.95481,                0.59692,                  1.333,                 1.1358,                 2.0243,               0.000416,               0.000416,               0.000416
                     22,                0.85535,                0.81216,                 1.4048,                0.95024,                0.95491,                 0.9683,                0.61781,                 1.2576,                 1.0571,                 1.9043,              0.0003368,              0.0003368,              0.0003368
                     23,                0.84113,                0.78823,                 1.4122,                0.96372,                0.96667,                0.98338,                0.66267,                 1.1519,                0.96018,                 1.7768,              0.0002576,              0.0002576,              0.0002576
                     24,                0.84996,                 0.7604,                 1.3658,                      1,                0.96153,                0.98409,                0.66828,                 1.1427,                 0.9116,                  1.762,              0.0001784,              0.0001784,              0.0001784
