                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3557,                 1.9609,                  1.716,                0.89212,                    0.9,                0.95978,                0.59731,                 1.1915,                 3.0399,                 1.9245,                0.00022,                0.00022,                0.00022
                      1,                 1.2111,                 1.4116,                 1.5611,                0.87691,                    0.9,                0.93776,                0.51371,                 1.4723,                 4.2966,                 2.6001,             0.00044178,             0.00044178,             0.00044178
                      2,                 1.1978,                 1.1495,                 1.5703,                 0.7284,                0.76667,                0.78728,                0.41422,                 1.5644,                 2.0665,                 2.5834,             0.00064456,             0.00064456,             0.00064456
                      3,                  1.248,                 1.1395,                 1.6158,                  0.684,                0.81667,                0.75388,                0.43424,                 1.5405,                 1.7738,                 2.9219,             0.00082833,             0.00082833,             0.00082833
                      4,                 1.2256,                 1.0077,                 1.5387,                0.60083,                0.75264,                0.65124,                0.31271,                 1.6807,                 1.7904,                 2.9405,             0.00099309,             0.00099309,             0.00099309
                      5,                 1.3016,                 1.0631,                 1.6182,                0.19443,                    0.6,                0.15096,                0.04538,                 2.3981,                 5.9564,                 4.2913,              0.0011388,              0.0011388,              0.0011388
                      6,                 1.2835,                0.97587,                 1.5789,                0.19808,                0.51667,                0.16968,                0.05655,                 2.5094,                 2.3007,                 3.4779,              0.0012656,              0.0012656,              0.0012656
                      7,                 1.2558,                 1.0533,                 1.6112,                0.41895,                0.76667,                0.37591,                0.15578,                   1.95,                 3.5318,                 3.0844,              0.0013733,              0.0013733,              0.0013733
                      8,                 1.3039,                 1.0578,                 1.6148,                0.74579,                0.83333,                0.82045,                0.42438,                 1.7736,                 1.8502,                 2.9038,              0.0013664,              0.0013664,              0.0013664
                      9,                 1.3022,                0.98566,                 1.6466,                0.74104,                0.63333,                 0.6989,                0.24632,                 2.1231,                 3.4555,                 3.6065,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.2576,                0.98153,                 1.6213,                0.33835,                0.58333,                0.33096,                0.08806,                 2.4034,                 5.4523,                 3.5111,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.1969,                0.90025,                 1.5182,                0.23492,                0.61667,                0.25696,                0.08861,                 2.1602,                 2.3771,                  3.252,               0.001208,               0.001208,               0.001208
                     12,                 1.2395,                0.87747,                 1.5924,                0.58016,                0.83333,                 0.7458,                 0.4348,                 1.3821,                  1.528,                 2.1254,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.2595,                0.89581,                 1.6081,                0.75937,                   0.75,                0.84429,                0.42167,                 1.7481,                 1.5113,                 2.5797,              0.0010496,              0.0010496,              0.0010496
                     14,                   1.21,                0.84446,                  1.535,                 0.8816,                0.86667,                0.93991,                0.61606,                 1.1779,                0.84517,                   1.92,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.1718,                0.85184,                  1.764,                0.86179,                0.72755,                0.85125,                0.46364,                 1.6077,                   1.06,                 2.8212,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.0589,                0.74617,                 1.6893,                 0.9288,                0.86972,                0.95008,                0.59189,                 1.3426,                0.93692,                 2.0133,               0.000812,               0.000812,               0.000812
                     17,                 1.0482,                0.69783,                 1.6141,                0.88997,                0.80893,                0.90356,                0.54213,                  1.452,                 1.0918,                 2.3299,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.0274,                0.69985,                 1.6137,                0.87657,                0.86667,                0.92081,                0.54416,                 1.4018,                0.99181,                 2.0858,              0.0006536,              0.0006536,              0.0006536
                     19,                0.97526,                0.63082,                 1.5667,                0.93209,                0.93333,                0.97115,                0.62262,                 1.3041,                0.82714,                 1.9923,              0.0005744,              0.0005744,              0.0005744
                     20,                0.96229,                0.63095,                 1.4945,                0.92996,                0.96667,                0.97168,                0.66618,                 1.1243,                0.71751,                 1.8012,              0.0004952,              0.0004952,              0.0004952
                     21,                0.96035,                0.60323,                  1.546,                0.98162,                0.96667,                0.99037,                0.69205,                 1.0784,                0.64222,                 1.7596,               0.000416,               0.000416,               0.000416
                     22,                0.89025,                  0.544,                 1.4593,                0.98278,                0.96667,                 0.9829,                0.65922,                 1.1216,                0.60225,                 1.7794,              0.0003368,              0.0003368,              0.0003368
                     23,                0.87785,                0.53195,                 1.4546,                      1,                0.96289,                0.98833,                 0.6891,                 1.1047,                0.57971,                 1.7601,              0.0002576,              0.0002576,              0.0002576
                     24,                 0.8581,                0.51569,                 1.3907,                0.99922,                   0.95,                0.98381,                0.69882,                 1.0729,                0.55625,                 1.7322,              0.0001784,              0.0001784,              0.0001784
